iter	Accuracy	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false	Precision:use_weights=true;class=0	Precision:use_weights=true;class=1	Precision:use_weights=true;class=2	Precision:use_weights=true;class=3	Precision:use_weights=false;class=0	Precision:use_weights=false;class=1	Precision:use_weights=false;class=2	Precision:use_weights=false;class=3	Recall:use_weights=true;class=0	Recall:use_weights=true;class=1	Recall:use_weights=true;class=2	Recall:use_weights=true;class=3	Recall:use_weights=false;class=0	Recall:use_weights=false;class=1	Recall:use_weights=false;class=2	Recall:use_weights=false;class=3	TotalF1:use_weights=true	TotalF1:use_weights=false
13	0.7365676029	1.05458556	0.7365676029	0.7706928265	0.5724757699	0.8995509646	0.8380257549	0.7955271238	0.5850622407	0.8125	0.8484848485	0.8513302034	0.8103448276	0.3046875	0.8016359918	0.8168168168	0.8103448276	0.3046875	0.8016359918	0.8168168168	0.7265216863	0.7673722084
14	0.73587937	1.041135519	0.73587937	0.7700797057	0.5706268916	0.8995509646	0.8380257549	0.795275492	0.5829875519	0.8125	0.8484848485	0.8513302034	0.8074712644	0.3046875	0.8016359918	0.8168168168	0.8074712644	0.3046875	0.8016359918	0.8168168168	0.7259388387	0.7668580733
15	0.7369169083	1.027086548	0.7369169083	0.7713059473	0.5741818166	0.8971793646	0.8442697179	0.7926323372	0.5852156057	0.8085106383	0.8555798687	0.85	0.8189655172	0.296875	0.799591002	0.8168168168	0.8189655172	0.296875	0.799591002	0.8168168168	0.7262357232	0.767750882
16	0.7352827755	1.013145066	0.7352827755	0.7694665849	0.5668414255	0.8971793646	0.8535291942	0.7926323372	0.5766129032	0.8085106383	0.8638392857	0.85	0.8218390805	0.296875	0.7914110429	0.8168168168	0.8218390805	0.296875	0.7914110429	0.8168168168	0.7252366637	0.7665240707
17	0.735390417	0.9993886582	0.735390417	0.7694665849	0.5650473887	0.8971793646	0.8608102793	0.7912868192	0.5751503006	0.8085106383	0.8693693694	0.848673947	0.8247126437	0.296875	0.7893660532	0.8168168168	0.8247126437	0.296875	0.7893660532	0.8168168168	0.7255706441	0.7666745275
18	0.7371058103	0.9866739624	0.7371058103	0.7706928265	0.5659874257	0.9102931589	0.8633973345	0.7909768716	0.5763052209	0.829787234	0.8716216216	0.8473520249	0.8247126437	0.3046875	0.7914110429	0.8168168168	0.8247126437	0.3046875	0.7914110429	0.8168168168	0.7278434014	0.7681251686
19	0.7381593517	0.9742035134	0.7381593517	0.7719190681	0.567833971	0.8995509646	0.8581670106	0.795275492	0.5789473684	0.8125	0.8666666667	0.8513302034	0.8218390805	0.3046875	0.7975460123	0.8168168168	0.8218390805	0.3046875	0.7975460123	0.8168168168	0.7287178215	0.7692146409
20	0.7364439583	0.9623578168	0.7364439583	0.7706928265	0.5650378167	0.9081492851	0.8615678951	0.7912868192	0.5766129032	0.8260869565	0.8683035714	0.848673947	0.8218390805	0.296875	0.7955010225	0.8168168168	0.8218390805	0.296875	0.7955010225	0.8168168168	0.7265798348	0.7677395713
21	0.7369169083	0.9520923949	0.7369169083	0.7713059473	0.5668812912	0.9081492851	0.8583131237	0.7912868192	0.5792682927	0.8260869565	0.8650442478	0.848673947	0.8189655172	0.296875	0.799591002	0.8168168168	0.8189655172	0.296875	0.799591002	0.8168168168	0.7268568977	0.7681364084
22	0.7362286754	0.9424878339	0.7362286754	0.7706928265	0.5688438234	0.9081492851	0.8524374743	0.7899458617	0.5807770961	0.8260869565	0.8612334802	0.8473520249	0.816091954	0.296875	0.799591002	0.8168168168	0.816091954	0.296875	0.799591002	0.8168168168	0.7259447433	0.7673572033
23	0.7362286754	0.932960062	0.7362286754	0.7706928265	0.5688438234	0.9081492851	0.8524374743	0.7899458617	0.5807770961	0.8260869565	0.8612334802	0.8473520249	0.816091954	0.296875	0.799591002	0.8168168168	0.816091954	0.296875	0.799591002	0.8168168168	0.7259447433	0.7673572033
24	0.7341639766	0.9238319075	0.7341639766	0.7688534641	0.5678917805	0.9081492851	0.8427548426	0.7899458617	0.5805785124	0.8260869565	0.8518518519	0.8473520249	0.8074712644	0.296875	0.799591002	0.8168168168	0.8074712644	0.296875	0.799591002	0.8168168168	0.7237910948	0.7653773285
25	0.7361210339	0.9138152448	0.7361210339	0.7706928265	0.5706001926	0.9081492851	0.8452479933	0.7915359328	0.5835051546	0.8260869565	0.8540305011	0.848673947	0.8132183908	0.296875	0.8016359918	0.8168168168	0.8132183908	0.296875	0.8016359918	0.8168168168	0.7256207404	0.7671212756
26	0.7367016253	0.9051548557	0.7367016253	0.7713059473	0.5715723842	0.9081492851	0.8455809585	0.7915359328	0.5847107438	0.8260869565	0.8543478261	0.848673947	0.8132183908	0.296875	0.8036809816	0.8168168168	0.8132183908	0.296875	0.8036809816	0.8168168168	0.726131851	0.7676661086
27	0.7374227774	0.8973019838	0.7374227774	0.7725321888	0.5759979231	0.9081492851	0.8430930373	0.7888076183	0.589958159	0.8260869565	0.852173913	0.8469860896	0.8103448276	0.296875	0.8016359918	0.8228228228	0.8103448276	0.296875	0.8016359918	0.8228228228	0.7264726684	0.7685066438
28	0.7415154162	0.8892535851	0.7415154162	0.774984672	0.5855978656	0.914294058	0.8401548519	0.7888076183	0.5970464135	0.8367346939	0.8503253796	0.8469860896	0.8132183908	0.3203125	0.8016359918	0.8228228228	0.8132183908	0.3203125	0.8016359918	0.8228228228	0.7317918464	0.7715533345
29	0.74378502	0.880213458	0.74378502	0.7762109135	0.5855978656	0.9179533163	0.8401548519	0.7940217869	0.5970464135	0.8431372549	0.8503253796	0.8496124031	0.8132183908	0.3359375	0.8016359918	0.8228228228	0.8132183908	0.3359375	0.8016359918	0.8228228228	0.7352244142	0.7734208221
30	0.7430136898	0.8722787037	0.7430136898	0.7755977928	0.5837175274	0.9179533163	0.8413600029	0.7927330963	0.5949367089	0.8431372549	0.8518518519	0.8485316847	0.8103448276	0.3359375	0.799591002	0.8243243243	0.8103448276	0.3359375	0.799591002	0.8243243243	0.734554898	0.7728931632
31	0.7424594793	0.8643046494	0.7424594793	0.7755977928	0.582746185	0.9161635976	0.841700634	0.7927330963	0.5949367089	0.84	0.852173913	0.8485316847	0.8103448276	0.328125	0.8016359918	0.8243243243	0.8103448276	0.328125	0.8016359918	0.8243243243	0.7334883734	0.7725944478
32	0.7431740931	0.8563384681	0.7431740931	0.7768240343	0.5865216899	0.914294058	0.8373443409	0.7943198062	0.5995762712	0.8367346939	0.849137931	0.8498452012	0.8132183908	0.3203125	0.8057259714	0.8243243243	0.8132183908	0.3203125	0.8057259714	0.8243243243	0.7333535733	0.7732734502
33	0.7444165366	0.8488572425	0.7444165366	0.7774371551	0.5874769871	0.9161635976	0.8406544043	0.7943198062	0.5991561181	0.84	0.852494577	0.8498452012	0.816091954	0.328125	0.8036809816	0.8243243243	0.816091954	0.328125	0.8036809816	0.8243243243	0.735172202	0.7742634629
34	0.7444165366	0.8422643089	0.7444165366	0.7774371551	0.5874769871	0.9161635976	0.8406544043	0.7943198062	0.5991561181	0.84	0.852494577	0.8498452012	0.816091954	0.328125	0.8036809816	0.8243243243	0.816091954	0.328125	0.8036809816	0.8243243243	0.735172202	0.7742634629
35	0.7501685993	0.83519693	0.7501685993	0.7829552422	0.5998944673	0.9196682192	0.8371543087	0.7963820366	0.6120689655	0.8461538462	0.8506493506	0.8514548239	0.816091954	0.34375	0.8036809816	0.8348348348	0.816091954	0.34375	0.8036809816	0.8348348348	0.7412204317	0.7796713592
36	0.7477075096	0.8293562368	0.7477075096	0.780502759	0.5953971322	0.9179533163	0.8378451415	0.794913265	0.6068376068	0.8431372549	0.8512931034	0.850308642	0.816091954	0.3359375	0.8077709611	0.8273273273	0.816091954	0.3359375	0.8077709611	0.8273273273	0.7385101682	0.7772179404
37	0.7518839926	0.8228052455	0.7518839926	0.7841814838	0.6009653481	0.9213129015	0.8409945281	0.7963820366	0.6133909287	0.8490566038	0.8528138528	0.8514548239	0.816091954	0.3515625	0.8057259714	0.8348348348	0.816091954	0.3515625	0.8057259714	0.8348348348	0.7434475305	0.7811411206
38	0.7530451755	0.8156845208	0.7530451755	0.7854077253	0.6033789294	0.9213129015	0.8412398661	0.7963820366	0.6147186147	0.8490566038	0.8552915767	0.8514548239	0.816091954	0.3515625	0.8098159509	0.8348348348	0.816091954	0.3515625	0.8098159509	0.8348348348	0.744468075	0.782324386
39	0.7535426696	0.811542213	0.7535426696	0.7860208461	0.6092559246	0.9213129015	0.8332299864	0.7966732699	0.6214442013	0.8490566038	0.8479657388	0.8516819572	0.816091954	0.3515625	0.8098159509	0.8363363363	0.816091954	0.3515625	0.8098159509	0.8363363363	0.7445828219	0.7825679691
40	0.7540401637	0.8056790896	0.7540401637	0.7866339669	0.608312601	0.9213129015	0.8362454271	0.7969636714	0.6200873362	0.8490566038	0.8516129032	0.8519083969	0.816091954	0.3515625	0.8098159509	0.8378378378	0.816091954	0.3515625	0.8098159509	0.8378378378	0.7451369221	0.7832592567
41	0.7535426696	0.7986108997	0.7535426696	0.7860208461	0.6032241896	0.9213129015	0.8412398661	0.7980052984	0.6147186147	0.8490566038	0.8552915767	0.8529862175	0.816091954	0.3515625	0.8098159509	0.8363363363	0.816091954	0.3515625	0.8098159509	0.8363363363	0.7449624724	0.7829435497
42	0.7576321008	0.7924816641	0.7576321008	0.7915389332	0.6172329288	0.9196682192	0.8357735107	0.7974308148	0.6325167038	0.8461538462	0.8507462687	0.8532526475	0.816091954	0.34375	0.8159509202	0.8468468468	0.816091954	0.34375	0.8159509202	0.8468468468	0.7476226151	0.7872733069
43	0.7551182493	0.7854641284	0.7551182493	0.7878602085	0.6102021785	0.9213129015	0.8350826156	0.7985824341	0.6228070175	0.8490566038	0.8501070664	0.8534351145	0.816091954	0.3515625	0.8118609407	0.8393393393	0.816091954	0.3515625	0.8118609407	0.8393393393	0.7460908415	0.784358029
44	0.7617840397	0.7801588272	0.7617840397	0.7952176579	0.6257069222	0.9228915898	0.8310803882	0.8011392504	0.6431818182	0.8518518519	0.8456659619	0.8554216867	0.8132183908	0.359375	0.81799591	0.8528528529	0.8132183908	0.359375	0.81799591	0.8528528529	0.7523512017	0.7910298158
45	0.7623646311	0.7751766367	0.7623646311	0.7958307787	0.6291741604	0.9228915898	0.831430625	0.7985700097	0.6461187215	0.8518518519	0.8459915612	0.8541353383	0.8132183908	0.359375	0.8200408998	0.8528528529	0.8132183908	0.359375	0.8200408998	0.8528528529	0.7527706326	0.7915215017
46	0.7655074154	0.7711883866	0.7655074154	0.7988963826	0.6338237903	0.9228915898	0.837945132	0.7988528092	0.6514806378	0.8518518519	0.8516949153	0.8543543544	0.8218390805	0.359375	0.8220858896	0.8543543544	0.8218390805	0.359375	0.8220858896	0.8543543544	0.755751089	0.7944480401
47	0.7659623594	0.7653585408	0.7659623594	0.7995095034	0.6371895251	0.9135114703	0.8321267594	0.7996964632	0.6558139535	0.8392857143	0.8466386555	0.8550074738	0.8103448276	0.3671875	0.8241308793	0.8588588589	0.8103448276	0.3671875	0.8241308793	0.8588588589	0.7564770065	0.7951027355
48	0.7654648653	0.7607859143	0.7654648653	0.7988963826	0.6337930341	0.9135114703	0.8321267594	0.8019771581	0.6527777778	0.8392857143	0.8466386555	0.856071964	0.8103448276	0.3671875	0.8241308793	0.8573573574	0.8103448276	0.3671875	0.8241308793	0.8573573574	0.7561384421	0.7946184746
49	0.7644640858	0.7571554447	0.7644640858	0.7988963826	0.6334703337	0.9213129015	0.832472675	0.7994160326	0.6535796767	0.8490566038	0.8469601677	0.8547904192	0.8132183908	0.3515625	0.8261758691	0.8573573574	0.8132183908	0.3515625	0.8261758691	0.8573573574	0.754077857	0.7939967592
50	0.7632945279	0.7521684847	0.7632945279	0.7970570202	0.6293393189	0.9213129015	0.8376066327	0.7985700097	0.6470588235	0.8490566038	0.8513800425	0.8541353383	0.8218390805	0.3515625	0.8200408998	0.8528528529	0.8218390805	0.3515625	0.8200408998	0.8528528529	0.7532206447	0.7924963372
51	0.7644377049	0.7475801307	0.7644377049	0.7982832618	0.6322763951	0.9228915898	0.8317794124	0.8006647791	0.6520737327	0.8518518519	0.8463157895	0.8547904192	0.8132183908	0.359375	0.8220858896	0.8573573574	0.8132183908	0.359375	0.8220858896	0.8573573574	0.754652594	0.7937232599
52	0.7674142946	0.7423649533	0.7674142946	0.8013488657	0.6365966175	0.9228915898	0.8376066327	0.801499799	0.6574712644	0.8518518519	0.8513800425	0.8554396423	0.8218390805	0.359375	0.8200408998	0.8618618619	0.8218390805	0.359375	0.8200408998	0.8618618619	0.7574584367	0.7966264084
53	0.7672480999	0.7383408296	0.7672480999	0.8013488657	0.6342148472	0.9117971226	0.8420459661	0.8020526031	0.6544622426	0.8363636364	0.856223176	0.8558692422	0.8218390805	0.359375	0.8159509202	0.8648648649	0.8218390805	0.359375	0.8159509202	0.8648648649	0.7574177577	0.7967642371
54	0.7686000216	0.7345354928	0.7686000216	0.8025751073	0.6384286448	0.9117971226	0.839685742	0.8033262056	0.6597701149	0.8363636364	0.8531914894	0.8569299553	0.8247126437	0.359375	0.8200408998	0.8633633634	0.8247126437	0.359375	0.8200408998	0.8633633634	0.7585884459	0.7978266312
55	0.770289034	0.729773742	0.770289034	0.8031882281	0.6419330767	0.915160447	0.8393493429	0.8033262056	0.6612903226	0.8421052632	0.8528784648	0.8569299553	0.8247126437	0.375	0.81799591	0.8633633634	0.8247126437	0.375	0.81799591	0.8633633634	0.7611662441	0.7989327749
56	0.770977267	0.7256610647	0.770977267	0.8038013489	0.6427321778	0.9258662596	0.8393493429	0.8033262056	0.6620689655	0.8571428571	0.8528784648	0.8569299553	0.8275862069	0.375	0.81799591	0.8633633634	0.8275862069	0.375	0.81799591	0.8633633634	0.7618113489	0.799499082
57	0.7721120689	0.72288634	0.7721120689	0.8044144697	0.646327339	0.918377523	0.8393493429	0.8033262056	0.6651270208	0.8448275862	0.8528784648	0.8569299553	0.8275862069	0.3828125	0.81799591	0.8633633634	0.8275862069	0.3828125	0.81799591	0.8633633634	0.7633112101	0.8003046132
58	0.7715314775	0.7195834964	0.7715314775	0.8038013489	0.6474974779	0.918377523	0.8390115289	0.8007742898	0.6651270208	0.8448275862	0.8525641026	0.8556547619	0.8275862069	0.3828125	0.8159509202	0.8633633634	0.8275862069	0.3828125	0.8159509202	0.8633633634	0.7626885051	0.7996771555
59	0.7732204899	0.7155213431	0.7732204899	0.8044144697	0.650027607	0.9213265802	0.8401893547	0.8007742898	0.6651270208	0.85	0.8540772532	0.8556547619	0.8275862069	0.3984375	0.8139059305	0.8633633634	0.8275862069	0.3984375	0.8139059305	0.8633633634	0.7652452106	0.8008027243
60	0.7762574695	0.7118998219	0.7762574695	0.8080931944	0.6580150657	0.9097286652	0.8391901988	0.8038717557	0.6768149883	0.8333333333	0.8523206751	0.8582089552	0.8304597701	0.390625	0.8261758691	0.8633633634	0.8304597701	0.390625	0.8261758691	0.8633633634	0.767490703	0.8039221518
61	0.7727739209	0.7085759515	0.7727739209	0.8044144697	0.6473581811	0.9097286652	0.8417119164	0.8038717557	0.6628440367	0.8333333333	0.8559139785	0.8582089552	0.8304597701	0.390625	0.8139059305	0.8633633634	0.8304597701	0.390625	0.8139059305	0.8633633634	0.7644545645	0.8006973345
62	0.7752851887	0.7046581242	0.7752851887	0.806253832	0.6523813747	0.911341764	0.8401893547	0.8069932773	0.6674311927	0.8360655738	0.8540772532	0.8607784431	0.8362068966	0.3984375	0.8139059305	0.8633633634	0.8362068966	0.3984375	0.8139059305	0.8633633634	0.7672347756	0.8026605586
63	0.777026963	0.7017035567	0.777026963	0.8080931944	0.6561038997	0.911341764	0.8411950798	0.8069932773	0.6720554273	0.8360655738	0.855010661	0.8607784431	0.8362068966	0.3984375	0.8200408998	0.8633633634	0.8362068966	0.3984375	0.8200408998	0.8633633634	0.7688307521	0.8043641747
64	0.7793493287	0.6979802317	0.7793493287	0.8105456775	0.6633125543	0.911341764	0.839523541	0.8069932773	0.681498829	0.8360655738	0.8526315789	0.8607784431	0.8362068966	0.3984375	0.8282208589	0.8633633634	0.8362068966	0.3984375	0.8282208589	0.8633633634	0.7708610019	0.806521038
65	0.7792153063	0.6943511987	0.7792153063	0.8099325567	0.6601807108	0.9128982245	0.8386179147	0.8095850486	0.6775700935	0.8387096774	0.8523206751	0.8620689655	0.8333333333	0.40625	0.8261758691	0.8633633634	0.8333333333	0.40625	0.8261758691	0.8633633634	0.7712972335	0.8062708325
66	0.7809306997	0.6919560224	0.7809306997	0.8111587983	0.6626681102	0.9144009782	0.8389522156	0.810917508	0.6791569087	0.8412698413	0.8526315789	0.8633633634	0.8333333333	0.4140625	0.8282208589	0.8633633634	0.8333333333	0.4140625	0.8282208589	0.8633633634	0.7733666873	0.80769902
67	0.7820655016	0.6888772034	0.7820655016	0.8117719191	0.6675729029	0.9158527579	0.83746571	0.8095850486	0.6839622642	0.84375	0.8508403361	0.8620689655	0.8333333333	0.421875	0.8282208589	0.8633633634	0.8333333333	0.421875	0.8282208589	0.8633633634	0.7747608457	0.8083846584
68	0.7848080555	0.6859592156	0.7848080555	0.8136112814	0.674564498	0.9095645728	0.8381351237	0.8095850486	0.6897374702	0.8358208955	0.8514644351	0.8620689655	0.8304597701	0.4375	0.8323108384	0.8633633634	0.8304597701	0.4375	0.8323108384	0.8633633634	0.7781037608	0.8105236616
69	0.7882388422	0.6832193861	0.7882388422	0.8160637646	0.6836728766	0.9124098893	0.8373275898	0.8095850486	0.6980676329	0.8405797101	0.8503118503	0.8620689655	0.8304597701	0.453125	0.836400818	0.8633633634	0.8304597701	0.453125	0.836400818	0.8633633634	0.7820299596	0.8131703865
70	0.7871040403	0.6807939278	0.7871040403	0.8154506438	0.681016481	0.9110099689	0.8373275898	0.8095850486	0.6963855422	0.8382352941	0.8503118503	0.8620689655	0.8304597701	0.4453125	0.836400818	0.8633633634	0.8304597701	0.4453125	0.836400818	0.8633633634	0.7805836158	0.8123932313
71	0.7880990285	0.6780056959	0.7880990285	0.8166768853	0.6821784922	0.9110099689	0.838799046	0.8101197415	0.6980676329	0.8382352941	0.8520833333	0.8624813154	0.8304597701	0.4453125	0.836400818	0.8663663664	0.8304597701	0.4453125	0.836400818	0.8663663664	0.7815198256	0.8135619963
72	0.7933264692	0.6751120887	0.7933264692	0.8197424893	0.693701344	0.9163572911	0.838799046	0.8116963159	0.7055961071	0.8472222222	0.8520833333	0.8637724551	0.8333333333	0.4765625	0.836400818	0.8663663664	0.8333333333	0.4765625	0.836400818	0.8663663664	0.7879202926	0.8172547811
73	0.7944612711	0.6734135002	0.7944612711	0.8203556101	0.6964482767	0.9175951967	0.838799046	0.8116963159	0.7073170732	0.8493150685	0.8520833333	0.8637724551	0.8333333333	0.484375	0.836400818	0.8663663664	0.8333333333	0.484375	0.836400818	0.8663663664	0.7893311995	0.8180126006
74	0.7944612711	0.6725663439	0.7944612711	0.8203556101	0.6964482767	0.9175951967	0.838799046	0.8116963159	0.7073170732	0.8493150685	0.8520833333	0.8637724551	0.8333333333	0.484375	0.836400818	0.8663663664	0.8333333333	0.484375	0.836400818	0.8663663664	0.7893311995	0.8180126006
75	0.7949587652	0.6712458017	0.7949587652	0.8209687308	0.6962463911	0.9175951967	0.838799046	0.8132941703	0.7073170732	0.8493150685	0.8520833333	0.8652694611	0.8333333333	0.484375	0.836400818	0.8678678679	0.8333333333	0.484375	0.836400818	0.8678678679	0.7898175369	0.8186248022
76	0.7932433719	0.6693529572	0.7932433719	0.8197424893	0.6893919767	0.9163572911	0.843913401	0.8117141218	0.7021791768	0.8472222222	0.8553459119	0.8639760837	0.8333333333	0.4765625	0.8343558282	0.8678678679	0.8333333333	0.4765625	0.8343558282	0.8678678679	0.7879680205	0.8173386923
77	0.7955639008	0.6675079294	0.7955639008	0.8215818516	0.6936328587	0.9094322834	0.8409325094	0.8178283811	0.7063106796	0.8378378378	0.8517745303	0.8693693694	0.8362068966	0.484375	0.8343558282	0.8693693694	0.8362068966	0.484375	0.8343558282	0.8693693694	0.7904860209	0.8193034153
78	0.7960104699	0.6646582865	0.7960104699	0.8215818516	0.6971900829	0.9107415498	0.8424203182	0.813617134	0.7073170732	0.84	0.8535564854	0.8667664671	0.8333333333	0.4921875	0.8343558282	0.8693693694	0.8333333333	0.4921875	0.8343558282	0.8693693694	0.7911831273	0.8194365736
79	0.7973869357	0.6615401516	0.7973869357	0.8228080932	0.6972318026	0.9107415498	0.8424203182	0.8181396965	0.7070217918	0.84	0.8535564854	0.8706766917	0.8390804598	0.4921875	0.8343558282	0.8693693694	0.8390804598	0.4921875	0.8343558282	0.8693693694	0.7925557421	0.8207134139
80	0.795373162	0.6598067779	0.795373162	0.8215818516	0.6956414359	0.9094322834	0.8424203182	0.8138786737	0.7073170732	0.8378378378	0.8535564854	0.8669656203	0.8333333333	0.484375	0.8343558282	0.8708708709	0.8333333333	0.484375	0.8343558282	0.8708708709	0.7902339253	0.8192469211
81	0.793740866	0.6575087764	0.793740866	0.8203556101	0.6929008516	0.9080840359	0.8409325094	0.813617134	0.7055961071	0.8356164384	0.8517745303	0.8667664671	0.8333333333	0.4765625	0.8343558282	0.8693693694	0.8333333333	0.4765625	0.8343558282	0.8693693694	0.7883372127	0.8178830203
82	0.7992608957	0.655156873	0.7992608957	0.8246474555	0.6998730746	0.9187969949	0.8424203182	0.8199969529	0.7101449275	0.8513513514	0.8535564854	0.8721804511	0.8448275862	0.4921875	0.8343558282	0.8708708709	0.8448275862	0.4921875	0.8343558282	0.8708708709	0.7943466223	0.8224732913
83	0.7996507483	0.6529949656	0.7996507483	0.8252605763	0.70578941	0.9187969949	0.8358612871	0.8202510797	0.7163814181	0.8513513514	0.8485477178	0.8723723724	0.841954023	0.4921875	0.836400818	0.8723723724	0.841954023	0.4921875	0.836400818	0.8723723724	0.7945486201	0.8229183244
84	0.8012321193	0.6517666903	0.8012321193	0.8258736971	0.7078974403	0.921098409	0.8358612871	0.8212918835	0.7174447174	0.8552631579	0.8485477178	0.8723723724	0.8390804598	0.5078125	0.836400818	0.8723723724	0.8390804598	0.5078125	0.836400818	0.8723723724	0.7967306753	0.8238495347
85	0.8004344081	0.6501280848	0.8004344081	0.8246474555	0.7057407284	0.9222008805	0.8363223196	0.8198817186	0.714987715	0.8571428571	0.8493723849	0.869955157	0.8362068966	0.515625	0.8302658487	0.8738738739	0.8362068966	0.515625	0.8302658487	0.8738738739	0.7962943682	0.8228017518
86	0.8021761824	0.6484928136	0.8021761824	0.8264868179	0.7071875733	0.9222008805	0.8406916073	0.8199429697	0.7167487685	0.8571428571	0.8520833333	0.871257485	0.8362068966	0.515625	0.836400818	0.8738738739	0.8362068966	0.515625	0.836400818	0.8738738739	0.7980014986	0.8246236019
87	0.8019203522	0.6472618092	0.8019203522	0.8264868179	0.7070205063	0.921098409	0.8411079436	0.8202510797	0.7181372549	0.8552631579	0.8503118503	0.8723723724	0.841954023	0.5078125	0.836400818	0.8723723724	0.841954023	0.5078125	0.836400818	0.8723723724	0.7974541738	0.824456073
88	0.8012321193	0.6455839554	0.8012321193	0.8258736971	0.7063118252	0.921098409	0.8411079436	0.8186521933	0.7174447174	0.8552631579	0.8503118503	0.8710644678	0.8390804598	0.5078125	0.836400818	0.8723723724	0.8390804598	0.5078125	0.836400818	0.8723723724	0.7967851263	0.8238426863
